facility_id,latitude,longitude,ts,is_powered_on,cloud_cover,cog_url,geometry,local_image_path
0,39.11613,-84.80529,2020-07-03 16:32:41.397000+00:00,1,23.97,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2020/7/S2B_16SFJ_20200703_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2B_16SFJ_20200703_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2018-06-09 16:25:19.280000+00:00,1,0.27,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2018/6/S2A_16SFJ_20180609_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20180609_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2017-11-24 16:36:14.460000+00:00,0,27.41,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2017/11/S2A_16SFJ_20171124_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20171124_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2019-11-01 16:32:42.327000+00:00,0,0.0,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2019/11/S2A_16SFJ_20191101_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20191101_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2020-05-09 16:32:43.614000+00:00,1,0.99,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2020/5/S2A_16SFJ_20200509_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20200509_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2019-06-04 16:32:41+00:00,1,21.05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2019/6/S2A_16SFJ_20190604_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20190604_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2018-06-19 16:25:30.100000+00:00,1,10.5,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2018/6/S2A_16SFJ_20180619_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20180619_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2018-08-18 16:25:18.280000+00:00,1,35.2,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2018/8/S2A_16SFJ_20180818_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20180818_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2018-07-07 16:40:12.900000+00:00,1,0.0,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2018/7/S2B_16SFJ_20180707_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2B_16SFJ_20180707_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
0,39.11613,-84.80529,2019-09-05 16:42:35.282000+00:00,1,7.65,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/16/S/FJ/2019/9/S2A_16SFJ_20190905_0_L2A/TCI.tif,"POLYGON ((-84.80150157951397 39.11894172118128, -84.80168074336267 39.113178822735456, -84.80907811963056 39.11331814573971, -84.80889955749284 39.11908107263269, -84.80150157951397 39.11894172118128))",/Users/adminuser/GitHub/ccai-ss23-ai-monitoring-tutorial/data/google/images/visual/S2A_16SFJ_20190905_0_L2A_TCI_-84.80529000061621_39.1161299797031_64.npy
